,SEC,TEST_acc,TEST_loss,TR_acc,TR_loss,VAL_acc,VAL_loss
0,300.0,1.0,0.0,1.0,0.0,1.0,0.0
1,600.0,1.0,9.837762604547606e-08,1.0,9.672493916923486e-08,1.0,9.118108579286854e-08
2,900.0,1.0,1.35206135176702e-09,1.0,1.376333047531375e-09,1.0,1.0905272240790964e-09
